oucode,is_hmi_listing_enabled,is_hmi_scheduling_enabled,is_hmi_pubhub_enabled,court_centre_id,court_id
A01AF00,false,false,false,42f44290-c183-3cab-9fbe-e22fc25a5fe4,null
A01BE00,false,false,false,5907faec-be0c-37dc-8513-4685b74ae9ae,null
A01CT00,false,false,false,05cf1c11-c18d-3b05-ae56-0c8f6d7264bf,null
A01CU00,false,false,false,a6f142d3-432d-3c0b-b734-4dfd90918d95,null
A01CV00,false,false,false,765fe3e9-5072-3fa1-b6c8-6bc4e6e36ae9,null
A01CW00,false,false,false,d6f8fcf1-520e-3170-8cd6-0cee56d61a6d,null
A01CX00,false,false,false,adea656b-c18d-3f67-8a9f-40773f9d1154,null
A01CY00,false,false,false,91b40b2c-65c2-3b51-9ad5-0cf7ec0790c2,null
A01DL00,false,false,false,2435f21d-f7fa-302f-952a-921120d689f5,null
A01DM00,false,false,false,20128023-7cd9-3020-8667-c6a4eabbaf9c,null
A01DN00,false,false,false,5b79e632-0607-31d7-b4d1-a8093dc95c09,null
A01DO00,false,false,false,60d67aa4-010d-3213-8655-7553ce6ce5c2,null
A03AA00,false,false,false,ddd2dac4-68a8-3783-aa88-50d5bf0e398a,null
A03AB00,false,false,false,7d6c1e48-2d03-3569-868f-aeefb806139f,null
A03ACXX,false,false,false,87c2abcf-5f42-364b-b4c5-aaa9fa0e13e6,null
A03ADXX,false,false,false,ec8018bc-3b08-37fd-bfba-827b9cbfbf73,null
A04AA00,false,false,false,7863ff5a-36c5-3f25-a118-07ebe0686544,null
A04AB00,false,false,false,513a2698-ff82-3ba3-84bd-6c2ebf12c0fd,null
A04AC00,false,false,false,93505e4e-4892-342a-89e0-1615b935a65e,null
A04AD00,false,false,false,bb64375f-787c-37ef-9f84-24ddb44609e6,null
A04AE00,false,false,false,dc540483-a93e-300c-a5aa-3d08e72b5ff3,null
A04AF00,false,false,false,bf44c0af-32bf-3276-bab1-caf54ac98dbd,null
A04AG00,false,false,false,e0d22097-58e1-382d-a0de-53cdf4a69088,null
A04AH00,false,false,false,48901ce6-704d-3af0-9c6c-f2a640753256,null
A04AI00,false,false,false,7e749572-be43-3eae-90ae-9ceee410c99b,null
A04AJ00,false,false,false,1d9b9ed1-50b4-30a7-b429-de51e088284a,null
A04AK00,false,false,false,d471d218-15f3-3306-8d69-3aafc6d29f31,null
A04AL00,false,false,false,3d94d21d-168b-3efa-a794-e1b3fef89149,null
A04AM00,false,false,false,334e87f4-bfad-3100-ad55-3c6becfd5b31,null
A04AN00,false,false,false,caba726d-e2f8-3150-8194-67ac5ddc1715,null
A04AO00,false,false,false,808a56b8-05af-37a2-97de-7031662fa439,null
A04AP00,false,false,false,e6eed5b8-cdd4-3ed0-9628-54abfac64e4a,null
A04AQ00,false,false,false,f1207e9f-9738-3c6e-b96b-d1158eb56aab,null
A04AR00,false,false,false,e1ae2c9a-1315-3763-91bd-cbf260c758ca,null
A04AS00,false,false,false,397ab539-81a7-31f9-a441-9e7b8d1df400,null
A04AT00,false,false,false,7bb1b5cc-a856-3e0f-9768-fa73873f93c8,null
A04AU00,false,false,false,333b04be-ca58-3429-add9-aedbb9a3f2e3,null
A05AJ00,false,false,false,3429384a-6cf9-3457-8358-921a67ed3d1b,null
A05AQ00,false,false,false,523f58eb-c647-3c3a-a4a4-355f9189afaf,null
A05AR00,false,false,false,65000b87-c73b-318a-8497-b6ce8ecebc46,null
A05AS00,false,false,false,8335be2c-e4d4-35a9-a732-e542ca7d30a8,null
A06ABXX,false,false,false,1e783747-1dd8-3ae7-a45d-1f7131557903,null
A06ACXX,false,false,false,ddb89672-b6ad-3899-8100-d17c886c0ef1,null
A06ADXX,false,false,false,93e6ece8-9e6e-3a84-8613-1cc67a63c8a0,null
A06AEXX,false,false,false,f47d5bbb-f9ea-35da-845a-8ec93d795104,null
A06AF00,false,false,false,142ef321-ef7c-38da-bb2e-8bfcec6e891c,null
A06AGXX,false,false,false,fb34d646-2e89-31a6-8888-b67113e05ea0,null
A06AHXX,false,false,false,768cfd28-5063-3a84-bc81-3d88b1827ceb,null
A06AIXX,false,false,false,232f670e-1a23-35a5-92e1-134751a60e4c,null
A06AJXX,false,false,false,6618fc1a-c24e-3cef-be85-12c05eff2db5,null
A06AKXX,false,false,false,f92ec3cd-484f-3977-95c7-cc586f7467d6,null
A06ALXX,false,false,false,91ec1fab-092c-3ecf-be9e-3319bc716df6,null
A06AM00,false,false,false,1e609446-c197-37cd-8b90-8569cc5cc9f8,null
A06ANXX,false,false,false,2f4c37ec-0e09-34da-acad-95fe40b9e62e,null
A06AOXX,false,false,false,b5d0ecf3-c39e-37f5-9555-7e54df052709,null
A06APXX,false,false,false,a09ac47b-038e-3fd2-b77a-8aeb1e9dc53b,null
A06AQXX,false,false,false,8fb526f7-130f-32e2-8a3c-c4cf60cdabd4,null
A06ARXX,false,false,false,3b158e65-d1ab-3dbb-a68b-46b41e3cfdfe,null
A06ASXX,false,false,false,5f5f02a1-197b-3983-860c-150200bb87a3,null
A06BAXX,false,false,false,73a1c26c-cc5b-33dc-80ec-9247d5f049c0,null
A06BTXX,false,false,false,5ed5fbb8-67b9-31ab-830e-ed44450729d3,null
A06XXXX,false,false,false,7a17136b-d0d2-349a-a93a-81f98e1a305d,null
A07AB00,false,false,false,6c4d4763-8f0c-3278-8717-a1959c2fa6e3,null
A07AC00,false,false,false,6464b51e-3175-3fe6-a961-69af3e26133d,null
