oucode,court_centre_id,migrated,updated_on
A01AF00,42f44290-c183-3cab-9fbe-e22fc25a5fe4,false,
A01BE00,5907faec-be0c-37dc-8513-4685b74ae9ae,false,
A01CT00,05cf1c11-c18d-3b05-ae56-0c8f6d7264bf,false,
A01CU00,a6f142d3-432d-3c0b-b734-4dfd90918d95,false,
A01CV00,765fe3e9-5072-3fa1-b6c8-6bc4e6e36ae9,false,
A01CW00,d6f8fcf1-520e-3170-8cd6-0cee56d61a6d,false,
A01CX00,adea656b-c18d-3f67-8a9f-40773f9d1154,false,
A01CY00,91b40b2c-65c2-3b51-9ad5-0cf7ec0790c2,false,
A01DL00,2435f21d-f7fa-302f-952a-921120d689f5,false,
A01DM00,20128023-7cd9-3020-8667-c6a4eabbaf9c,false,
A01DN00,5b79e632-0607-31d7-b4d1-a8093dc95c09,false,
A01DO00,60d67aa4-010d-3213-8655-7553ce6ce5c2,false,
A03AA00,ddd2dac4-68a8-3783-aa88-50d5bf0e398a,false,
A03AB00,7d6c1e48-2d03-3569-868f-aeefb806139f,false,
A04AP00,e6eed5b8-cdd4-3ed0-9628-54abfac64e4a,false,
A04AR00,e1ae2c9a-1315-3763-91bd-cbf260c758ca,false,
A04AS00,397ab539-81a7-31f9-a441-9e7b8d1df400,false,
A04AT00,7bb1b5cc-a856-3e0f-9768-fa73873f93c8,false,
A04AU00,333b04be-ca58-3429-add9-aedbb9a3f2e3,false,
A05AJ00,3429384a-6cf9-3457-8358-921a67ed3d1b,false,
A05AQ00,523f58eb-c647-3c3a-a4a4-355f9189afaf,false,
A05AR00,65000b87-c73b-318a-8497-b6ce8ecebc46,false,
A05AS00,8335be2c-e4d4-35a9-a732-e542ca7d30a8,false,
A06AF00,142ef321-ef7c-38da-bb2e-8bfcec6e891c,false,
A06AM00,1e609446-c197-37cd-8b90-8569cc5cc9f8,false,
A06XXXX,7a17136b-d0d2-349a-a93a-81f98e1a305d,false,
A07AH00,2f84e27d-7c4a-37d4-b379-167912de93d1,false,
A07AJ00,e8259b0a-fd06-307e-88e9-74a5509b578f,false,
A10AE00,479c75c4-505c-396a-bf16-bdce7655a426,false,
A10AHXX,33398df3-531f-3227-9cee-4bc055a95f95,false,
A10XXXX,df5efea9-9f92-3f83-becb-303cea27b916,false,
A11AA00,d8ace000-9884-3aa9-a491-cf974ef5eeb7,false,
A11XXXX,0ecc1b79-d65e-39d7-beb1-6f137d87385b,false,
A12AG00,a46bf1a4-c1ad-3ab1-97e8-5ed70bc7779c,false,
A12AH00,423f6ddc-19b6-3e94-8dd4-bfe03bf3e728,false,
A13AA00,1b981be9-5bf2-388b-9dc0-e10f4f74faae,false,
A13AK00,c369eb25-940b-31b8-955a-5f64ed4db7ff,false,
A13AO00,2c056baf-4d73-3f67-8c6a-cf5372e90c50,false,
A14AD00,8ee43d85-3d6b-3699-86a1-f63d060b5f19,false,
A14AE00,35bbe667-06cd-361a-af88-4d35a5ac4481,false,
A16AC00,8e629cfe-e411-3577-99a6-47826527c62e,false,
A16AD00,97dd2742-fe0e-3b33-9a68-c0472b7942fb,false,
A16AF00,93db27f4-fc8e-35b7-b8b2-d5b0b5b1963f,false,
A17AB00,f6bca3f0-079f-3999-beb0-e7c2afc537fd,false,
A17XXXX,cae7b702-ea7a-3064-ba7b-867a7623b5b2,false,
A20AD00,027342f1-31ce-3501-beb4-a4f1988c92b2,false,
A20BCXX,5b90b3ec-4fe7-33b9-a3d7-7eeed574c63c,false,
A20BD00,896faa0b-7b38-3e9b-8dd9-612b6378c145,false,
A20BE00,c86e1c7e-7e65-3ce6-9c50-f6754f0d8221,false,
A21AC00,1cf3c994-2f49-30e2-b096-9a7ebd60d3bc,false,
A21AD00,674d8aa9-df6c-332a-b02b-85c10a56fb13,false,
A21AE00,25ff758d-b534-3771-a2eb-5a345589d297,false,
A22BL00,2fd27d98-18ef-3fba-983e-d83e544265c2,false,
A22BM00,536779c2-ae03-35d0-b5ac-a342f538b5cd,false,
A23AA00,a895b81c-d650-389d-a4be-cce1bbc192e4,false,
A23AB00,bdcbc080-9970-3bee-aa98-3e90ca946fbf,false,
A30AB00,fcb46ba5-cf2b-3ecb-abd5-39afb17bd492,false,
A30AC00,3849a72b-b307-35b8-8763-e737a5cc5c46,false,
A31AE00,20d97c49-a869-3c3c-b447-779c2b1bb529,false,
A31AH00,e65034b3-8a8f-3f91-b840-8031a30f3d3b,false,
A31AJ00,c9677d56-025f-35e9-8965-8df5cb07bcd6,false,
A31AK00,f95b4ac4-99f4-3c63-8de3-977680eeb7cd,false,
A32AC00,e9c09902-61c9-3ef9-8014-f27254be1a7b,false,
A32AF00,820d2393-5181-3bbb-b940-ca7b80c26c83,false,
A33AA00,4c89337d-8a52-3e58-bb8e-dfc2f09fae44,false,
A33AC00,37d24d5e-2fed-349a-be6a-dc52a839ba8a,false,
A33AF00,8d937c8d-75da-3952-8921-37168ac07a36,false,
A34AD00,54d244ce-9c25-3050-a43b-1fa7200ed1f1,false,
A35AE00,b65e59c4-0e1b-3e82-8ede-67e3ac0a17c6,false,
A35AF00,14d5a819-6b3a-32f1-9995-d2a69cede42c,false,
A36AB00,4affc111-2889-3df4-9b68-0cb253378258,false,
A36AC00,5c5152f4-673c-3deb-9f98-922d3f69f6b2,false,
A37AB00,98601586-2a5d-3541-9caa-a28aa11c574b,false,
A40ABXX,d0981317-c2d5-3754-ba71-de3d62be1080,false,
A40AC00,bcae8a9b-160a-3c91-9a29-bd277f900e24,false,
A41AA00,96eb134b-599e-35a6-bd88-382727433e52,false,
A41ADXX,5eed9ec5-632c-3b27-b075-c7bba3aed565,false,
A42AA00,a11363a4-01ba-3ae5-820e-57c901d2ae80,false,
A42AC00,21c524f7-a341-337a-abd3-14700f660a16,false,
A42AF00,c14a1f45-5233-3738-aad0-37f8221eaa5f,false,
A42AG00,f9107a70-6903-3d7c-845e-eed16e2cfef6,false,
A43ABXX,118bff03-28ec-3abc-81d0-829011a9ef50,false,
A43AE00,a5098055-219e-3129-9448-d43158b857df,false,
A43AG00,65376fa0-484a-3be4-aa16-6c83c96f7f10,false,
A43AH00,4a940a8f-da16-3337-9aa4-c06b8b381aee,false,
A44AD00,ceffb231-39f0-34ad-a974-4f84152372bd,false,
A44AG00,dcc41c73-0efe-3f9d-aa95-2a6b83bcb76b,false,
A44AH00,b410b089-aef3-39c8-a722-ed2fe4f048b7,false,
A44AK00,4122edcf-19fb-3a9a-b1df-1f85e56764ba,false,
A45AA00,879d36ee-81b7-3f8f-8322-bd86b532f5ee,false,
A45AF00,c51cc86b-61c6-3e35-aa3a-6fd08f7ec07b,false,
A45AG00,07a79133-a74a-3ba1-be31-fd793b3a9ea3,false,
A46AF00,9b4faed6-f8aa-35b2-8a2b-6f40aa31fc82,false,
A46AI00,2d4c9d9a-0daf-3d72-bffa-542a57f92ea5,false,
A46AJ00,a697f2e5-fc8c-337e-ad42-84eec5dbf5eb,false,
A46BB00,5a78fc33-0d51-30be-8366-0c28b48b719f,false,
A47AA00,fa1cf608-abdc-3c1a-af18-85df1e9a0964,false,
A47AB00,910fab2b-8118-3003-9a15-241393b2f141,false,
A47AG00,733a9728-3bbe-384d-a91a-b5e3cad8db4e,false,
A50AD00,cfd71b49-f2d4-3c45-a9ff-cea6489a86e5,false,
A50BC00,a2e68e92-8ab2-32cc-b248-5f8cea3da092,false,
A52AA00,78e638a6-0f2a-3e83-979c-d4340949b5d1,false,
A52AB00,84b135ab-69fb-313c-9caf-b1df1ad9ebfb,false,
A52AC00,ea85e408-ff5e-3f40-a7d8-56299cc0734e,false,
A52AD00,fce49789-652e-3703-b8fb-735fa0d4352f,false,
A52AE00,78bdefdf-b8c2-3be1-b444-819bfb0414cc,false,
A52AF00,afb6509b-c6f6-3538-a7b5-cca9a42ca5c5,false,
A52AG00,f0392cc0-f937-3bfa-95c4-84b4639ed071,false,
A53AA00,6a6e52ca-b57a-308f-8824-1d38c07c2459,false,
A53AB00,14e92f40-a935-3440-9e49-5752c8dde603,false,
A54AE00,6ae3c333-15a7-3a16-a380-9f23dff5432a,false,
A55AC00,acb3a76e-1259-3322-83c0-7252a56cebf8,false,
A60AG00,7892ac79-625e-301d-9ee5-a0fc64539b7b,false,
A60AH00,469a4d33-7a0b-3795-ae56-c3085af7269e,false,
A60AI00,d68ad928-f79f-370c-880e-598254bb4615,false,
A61AE00,9c79d6ef-194c-3b25-a1e6-742754d8c7d7,false,
A61AF00,55df6cac-3048-36b4-89b6-369d587196eb,false,
A61AG00,8e0f5ba6-50b6-3770-acfe-7aa1114eee46,false,
A61AH00,20a5d0ec-0319-3946-ab07-6459f65ba6f3,false,
A62AC00,359429e6-d2b8-326c-a61b-cb51104eee58,false,
A62AD00,c6ea59be-5bc1-3d32-84cf-55a175d14020,false,
A62AE00,58ed480a-dc9d-33cb-b76f-5055f8c37cb5,false,
A62AH00,9ef80815-cb0c-344a-9a36-08b2e5fd11ac,false,
A62AI00,99003682-db28-3ce9-a11a-9fd512400bfb,false,
A62AJXX,bc7a7ff0-5759-3bab-8e10-eb83454f5ac8,false,
A62AN00,163f5f29-7c1b-331c-806d-fb6a1fd1b617,false,
